Div;Season;Date;HomeTeam;AwayTeam;FTHG;FTAG;FTR;HTHG;HTAG;HTR;HomeBookmaker;DrawBookmaker;AwayBookmaker;avg_home_spectator;avg_away_spectator
E0;01_02;15.12.2001;Tottenham;Fulham;4;0;H;2;0;H;2.0;3.0;3.3;35195.0;14985.0
E0;01_02;15.12.2001;West Ham;Arsenal;1;1;D;1;1;D;3.8;3.1;1.8;25697.0;37974.0
E0;01_02;16.12.2001;Chelsea;Liverpool;4;0;H;2;0;H;2.2;3.0;2.9;34700.0;43699.0
E0;01_02;16.12.2001;Leeds;Leicester;2;2;D;1;0;H;1.35;4.0;7.0;38974.0;20452.0
E0;01_02;17.12.2001;Aston Villa;Ipswich;2;1;H;1;1;D;1.55;3.5;4.8;31597.0;22532.0
E0;01_02;18.12.2001;Arsenal;Newcastle;1;3;A;1;0;H;1.65;3.3;4.4;37974.0;51309.0
E0;01_02;19.12.2001;Leeds;Everton;3;2;H;2;0;H;1.4;3.9;6.0;38974.0;34131.0
E0;01_02;22.12.2001;Charlton;Blackburn;0;2;A;0;0;D;2.1;3.0;3.1;20023.0;20740.0
E0;01_02;22.12.2001;Derby;Aston Villa;3;1;H;1;1;D;2.5;3.0;2.5;28551.0;31597.0
E0;01_02;22.12.2001;Leeds;Newcastle;3;4;A;1;1;D;1.9;3.1;3.5;38974.0;51309.0
E0;01_02;22.12.2001;Leicester;West Ham;1;1;D;1;0;H;2.2;3.0;2.9;20452.0;25697.0
E0;01_02;22.12.2001;Man United;Southampton;6;1;H;3;0;H;1.25;4.5;9.0;67490.0;15115.0
E0;01_02;22.12.2001;Sunderland;Everton;1;0;H;0;0;D;1.7;3.2;4.2;46791.0;34131.0
E0;01_02;22.12.2001;Tottenham;Ipswich;1;2;A;1;1;D;1.5;3.7;5.0;35195.0;22532.0
E0;01_02;23.12.2001;Chelsea;Bolton;5;1;H;2;1;H;1.45;3.8;5.4;34700.0;16062.0
E0;01_02;23.12.2001;Liverpool;Arsenal;1;2;A;0;1;A;2.0;3.1;3.2;43699.0;37974.0
E0;01_02;26.12.2001;Arsenal;Chelsea;2;1;H;0;1;A;2.0;3.1;3.2;37974.0;34700.0
E0;01_02;26.12.2001;Aston Villa;Liverpool;1;2;A;1;1;D;2.9;3.0;2.2;31597.0;43699.0
E0;01_02;26.12.2001;Blackburn;Sunderland;0;3;A;0;2;A;2.0;3.1;3.2;20740.0;46791.0
E0;01_02;26.12.2001;Bolton;Leeds;0;3;A;0;2;A;3.6;3.1;1.85;16062.0;38974.0
E0;01_02;26.12.2001;Everton;Man United;0;2;A;0;0;D;4.4;3.3;1.65;34131.0;67490.0
E0;01_02;26.12.2001;Fulham;Charlton;0;0;D;0;0;D;1.75;3.2;4.0;14985.0;20023.0
E0;01_02;26.12.2001;Ipswich;Leicester;2;0;H;0;0;D;1.8;3.1;3.8;22532.0;20452.0
E0;01_02;26.12.2001;Newcastle;Middlesbrough;3;0;H;1;0;H;1.7;3.2;4.2;51309.0;30747.0
E0;01_02;26.12.2001;Southampton;Tottenham;1;0;H;0;0;D;2.5;3.0;2.5;15115.0;35195.0
E0;01_02;26.12.2001;West Ham;Derby;4;0;H;1;0;H;1.75;3.2;4.0;25697.0;28551.0
E0;01_02;29.12.2001;Arsenal;Middlesbrough;2;1;H;0;1;A;1.35;4.0;7.0;37974.0;30747.0
E0;01_02;29.12.2001;Aston Villa;Tottenham;1;1;D;0;1;A;2.1;3.0;3.1;31597.0;35195.0
E0;01_02;29.12.2001;Blackburn;Derby;0;1;A;0;1;A;1.7;3.2;4.2;20740.0;28551.0
E0;01_02;29.12.2001;Bolton;Leicester;2;2;D;1;2;A;2.0;3.1;3.2;16062.0;20452.0
E0;01_02;29.12.2001;Everton;Charlton;0;3;A;0;1;A;1.9;3.1;3.5;34131.0;20023.0
E0;01_02;29.12.2001;Ipswich;Sunderland;5;0;H;4;0;H;2.3;3.0;2.7;22532.0;46791.0
E0;01_02;29.12.2001;Newcastle;Chelsea;1;2;A;1;2;A;2.1;3.0;3.1;51309.0;34700.0
E0;01_02;29.12.2001;Southampton;Leeds;0;1;A;0;0;D;3.2;3.1;2.0;15115.0;38974.0
E0;01_02;29.12.2001;West Ham;Liverpool;1;1;D;1;0;H;3.2;3.1;2.0;25697.0;43699.0
E0;01_02;30.12.2001;Fulham;Man United;2;3;A;1;2;A;4.2;3.2;1.7;14985.0;67490.0
E0;01_02;01.01.2002;Charlton;Ipswich;3;2;H;2;2;D;2.1;3.1;3.0;20023.0;22532.0
E0;01_02;01.01.2002;Chelsea;Southampton;2;4;A;2;1;H;1.35;4.0;7.0;34700.0;15115.0
E0;01_02;01.01.2002;Leeds;West Ham;3;0;H;2;0;H;1.45;3.8;5.4;38974.0;25697.0
E0;01_02;01.01.2002;Liverpool;Bolton;1;1;D;0;0;D;1.25;4.5;9.0;43699.0;16062.0
E0;01_02;01.01.2002;Middlesbrough;Everton;1;0;H;0;0;D;1.75;3.2;4.0;30747.0;34131.0
E0;01_02;01.01.2002;Sunderland;Aston Villa;1;1;D;0;0;D;2.0;3.1;3.2;46791.0;31597.0
E0;01_02;01.01.2002;Tottenham;Blackburn;1;0;H;1;0;H;1.65;3.3;4.4;35195.0;20740.0
E0;01_02;02.01.2002;Derby;Fulham;0;1;A;0;0;D;2.2;3.0;2.9;28551.0;14985.0
E0;01_02;02.01.2002;Man United;Newcastle;3;1;H;1;0;H;1.6;3.4;4.6;67490.0;51309.0
E0;01_02;09.01.2002;Southampton;Liverpool;2;0;H;0;0;D;3.5;3.1;1.9;15115.0;43699.0
E0;01_02;12.01.2002;Aston Villa;Derby;2;1;H;2;1;H;1.6;3.4;4.6;31597.0;28551.0
E0;01_02;12.01.2002;Blackburn;Charlton;4;1;H;2;0;H;2.0;3.1;3.2;20740.0;20023.0
E0;01_02;12.01.2002;Bolton;Chelsea;2;2;D;0;0;D;3.8;3.1;1.8;16062.0;34700.0
E0;01_02;12.01.2002;Everton;Sunderland;1;0;H;1;0;H;2.1;3.0;3.1;34131.0;46791.0
E0;01_02;12.01.2002;Fulham;Middlesbrough;2;1;H;2;1;H;1.75;3.2;4.0;14985.0;30747.0
E0;01_02;12.01.2002;Ipswich;Tottenham;2;1;H;1;0;H;2.3;3.0;2.7;22532.0;35195.0
E0;01_02;12.01.2002;Newcastle;Leeds;3;1;H;1;1;D;2.2;3.0;2.9;51309.0;38974.0
E0;01_02;12.01.2002;West Ham;Leicester;1;0;H;1;0;H;1.65;3.3;4.4;25697.0;20452.0
E0;01_02;13.01.2002;Arsenal;Liverpool;1;1;D;0;0;D;2.0;3.1;3.2;37974.0;43699.0
E0;01_02;13.01.2002;Southampton;Man United;1;3;A;1;2;A;4.4;3.3;1.65;15115.0;67490.0
E0;01_02;19.01.2002;Derby;Ipswich;1;3;A;0;0;D;2.3;3.0;2.7;28551.0;22532.0
E0;01_02;19.01.2002;Leicester;Newcastle;0;0;D;0;0;D;4.2;3.2;1.7;20452.0;51309.0
E0;01_02;19.01.2002;Liverpool;Southampton;1;1;D;1;0;H;1.4;3.9;6.0;43699.0;15115.0
E0;01_02;19.01.2002;Man United;Blackburn;2;1;H;1;0;H;1.3;4.2;8.0;67490.0;20740.0
E0;01_02;19.01.2002;Middlesbrough;Bolton;1;1;D;1;0;H;1.75;3.2;4.0;30747.0;16062.0
E0;01_02;19.01.2002;Sunderland;Fulham;1;1;D;0;1;A;2.2;3.0;2.9;46791.0;14985.0
E0;01_02;19.01.2002;Tottenham;Everton;1;1;D;1;1;D;1.65;3.3;4.4;35195.0;34131.0
E0;01_02;20.01.2002;Chelsea;West Ham;5;1;H;1;0;H;1.6;3.4;4.6;34700.0;25697.0
E0;01_02;20.01.2002;Leeds;Arsenal;1;1;D;1;1;D;2.3;2.9;2.8;38974.0;37974.0
E0;01_02;21.01.2002;Charlton;Aston Villa;1;2;A;0;2;A;2.2;2.9;3.0;20023.0;31597.0
E0;01_02;22.01.2002;Man United;Liverpool;0;1;A;0;0;D;1.7;3.2;4.2;67490.0;43699.0
